review_id,review_text,sentiment_label,sentiment_score,bank,rating
1,Best mobile banking app in Ethiopian banking industry. Keep up CBE,positive,0.9997265934944153,CBE,5
2,it's very helpful app in any way in and out of the county of Ethiopia good luck,positive,0.9995100498199463,CBE,5
3,good app,positive,0.9998493194580078,CBE,5
4,So bad now and hard to use,negative,0.999805748462677,CBE,5
5,"it is so amazing app. but, it is better to update it to access without any internet fees. just make it to open by free internet service when we open data connection.",positive,0.9496427178382874,CBE,5
6,v.good app,positive,0.9952701926231384,CBE,4
7,very good app,positive,0.9998675584793091,CBE,1
8,Very amazing app indeed. I'm enjoying it,positive,0.9998819828033447,CBE,5
9,Best,positive,0.9997941851615906,CBE,5
10,A great app. It's like carrying a bank in your pocket.,positive,0.9992928504943848,CBE,4
11,More than garrantty bank EBC.,positive,0.9971959590911865,CBE,4
12,really am happy to this app it is Siple to use everything,positive,0.9988697171211243,CBE,5
13,I liked this app. But the User interface is very basic and not attractive at all.,negative,0.9996840953826904,CBE,2
14,"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",negative,0.9964652061462402,CBE,4
15,what is this app problem???,negative,0.9996225833892822,CBE,1
16,the app is proactive and a good connections.,positive,0.9998679161071777,CBE,5
17,I cannot send to cbebirr app. through this app.,negative,0.9953354001045227,CBE,3
18,good,positive,0.9998161196708679,CBE,4
19,not functional,negative,0.999778687953949,CBE,1
20,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",negative,0.9905162453651428,CBE,1
21,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,negative,0.9616847634315491,CBE,4
22,best,positive,0.9997941851615906,CBE,5
23,Best Mobile Banking app ever,positive,0.9997294545173645,CBE,5
24,it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,negative,0.9981192946434021,CBE,2
25,Good,positive,0.9998161196708679,CBE,5
26,👌👍,negative,0.6970565915107727,CBE,5
27,very niec,positive,0.5192620754241943,CBE,5
28,best app of finance,positive,0.9996503591537476,CBE,5
29,yetemeta,positive,0.6553664803504944,CBE,1
30,it is not safety,negative,0.9997867941856384,CBE,1
31,NICE bank,positive,0.9998055100440979,CBE,5
32,it is like a childish app make it better the worst I have ever seen,negative,0.9997958540916443,CBE,1
33,"It's a problem solver application, go ahead CBE, I love so much.",positive,0.9997678399085999,CBE,5
34,It's good but try to make it facilitate for your client,positive,0.9491767883300781,CBE,4
35,best app,positive,0.999686598777771,CBE,5
36,Awesome bank,positive,0.9998461008071899,CBE,5
37,this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,negative,0.9983141422271729,CBE,5
38,Masha alla,negative,0.9514626860618591,CBE,5
39,"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",negative,0.9991102814674377,CBE,2
40,better service,positive,0.9982219338417053,CBE,5
41,"it,s good app and time manager 👍",positive,0.9998370409011841,CBE,5
42,malkaamuu Jiidhaa Namoo,negative,0.9887813329696655,CBE,5
43,lower system everything,negative,0.9993475079536438,CBE,3
44,Nice!,positive,0.999863862991333,CBE,5
45,Keep it up My CBE,positive,0.9996104836463928,CBE,5
46,yes good,positive,0.9998410940170288,CBE,5
