review_id,review_text,sentiment_label,sentiment_score,bank,rating,clean_text,theme
1,good app,positive,0.9998493194580078,CBE,5,good app,Positive Feedback
2,So bad now and hard to use,negative,0.999805748462677,CBE,5,bad hard use,"Negative Feedback, User Experience"
3,"it is so amazing app. but, it is better to update it to access without any internet fees. just make it to open by free internet service when we open data connection.",positive,0.9496427178382874,CBE,5,amazing app well update access internet fee open free internet service open datum connection,"Account Access, UI/UX, Customer Support, Positive Feedback"
4,v.good app,positive,0.9952701926231384,CBE,4,app,Other
5,very good app,positive,0.9998675584793092,CBE,1,good app,Positive Feedback
6,Very amazing app indeed. I'm enjoying it,positive,0.9998819828033448,CBE,5,amazing app enjoy,Positive Feedback
7,Best,positive,0.9997941851615906,CBE,5,well,Other
8,A great app. It's like carrying a bank in your pocket.,positive,0.9992928504943848,CBE,4,great app like carry bank pocket,Positive Feedback
9,More than garrantty bank EBC.,positive,0.9971959590911864,CBE,4,garrantty bank ebc,Other
10,really am happy to this app it is Siple to use everything,positive,0.9988697171211244,CBE,5,happy app siple use,User Experience
11,I liked this app. But the User interface is very basic and not attractive at all.,negative,0.9996840953826904,CBE,2,like app user interface basic attractive,User Experience
12,"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",negative,0.9964652061462402,CBE,4,atm support account account transfer like country kenya nigeria south africa,"Transaction, Customer Support"
13,what is this app problem???,negative,0.9996225833892822,CBE,1,app problem,Negative Feedback
14,the app is proactive and a good connections.,positive,0.9998679161071776,CBE,5,app proactive good connection,Positive Feedback
15,I cannot send to cbebirr app. through this app.,negative,0.9953354001045228,CBE,3,send cbebirr app app,Transaction
16,good,positive,0.999816119670868,CBE,4,good,Positive Feedback
17,not functional,negative,0.999778687953949,CBE,1,functional,User Experience
18,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",negative,0.9905162453651428,CBE,1,everytime uninstall app reach physically oldy security layer check fraud attempt app source app store play store etc implicitly physical presence app install rare,Security
19,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,negative,0.9616847634315492,CBE,4,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,Other
20,best,positive,0.9997941851615906,CBE,5,well,Other
21,Best Mobile Banking app ever,positive,0.9997294545173644,CBE,5,best mobile banking app,Positive Feedback
22,it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,negative,0.998119294643402,CBE,2,good app issue like not right bank issue transfer,"Transaction, Positive Feedback"
23,Good,positive,0.999816119670868,CBE,5,good,Positive Feedback
25,very niec,positive,0.5192620754241943,CBE,5,niec,Other
26,best app of finance,positive,0.9996503591537476,CBE,5,good app finance,Positive Feedback
27,yetemeta,positive,0.6553664803504944,CBE,1,yetemeta,Other
28,it is not safety,negative,0.9997867941856384,CBE,1,safety,Security
29,NICE bank,positive,0.999805510044098,CBE,5,nice bank,Positive Feedback
30,it is like a childish app make it better the worst I have ever seen,negative,0.9997958540916444,CBE,1,like childish app well bad see,Negative Feedback
31,"It's a problem solver application, go ahead CBE, I love so much.",positive,0.9997678399086,CBE,5,problem solver application ahead cbe love,"Positive Feedback, Negative Feedback"
32,It's good but try to make it facilitate for your client,positive,0.949176788330078,CBE,4,good try facilitate client,Positive Feedback
33,best app,positive,0.999686598777771,CBE,5,good app,Positive Feedback
34,Awesome bank,positive,0.99984610080719,CBE,5,awesome bank,Positive Feedback
35,this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,negative,0.9983141422271729,CBE,5,app develop good way comment need prevent screenshot likely good like coz need screenshot quick evidence good access recent transaction history day coz bank person old transaction add colander category user easily access old transaction colander,"Account Access, Transaction, Feature Request, Positive Feedback, User Experience"
36,Masha alla,negative,0.9514626860618592,CBE,5,masha alla,Other
37,"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",negative,0.9991102814674376,CBE,2,recently big problem send safaricom telebir cbebirr wallet anybody responsible fix frustrating day money return take account send mpesa correct send money afraid send,"UI/UX, Transaction, Negative Feedback"
38,better service,positive,0.9982219338417052,CBE,5,well service,Customer Support
39,"it,s good app and time manager 👍",positive,0.999837040901184,CBE,5,s good app time manager,Positive Feedback
40,malkaamuu Jiidhaa Namoo,negative,0.9887813329696656,CBE,5,malkaamuu jiidhaa namoo,Other
41,lower system everything,negative,0.9993475079536438,CBE,3,low system,UI/UX
42,Nice!,positive,0.999863862991333,CBE,5,nice,Positive Feedback
43,Keep it up My CBE,positive,0.9996104836463928,CBE,5,cbe,Other
44,yes good,positive,0.9998410940170288,CBE,5,yes good,Positive Feedback
45,"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",negative,0.9996353387832642,CBE,4,app year problem stop work month ago try transfer fund give error transaction inactive account,"Transaction, Negative Feedback"
46,i like everything of this app,positive,0.9996908903121948,CBE,5,like app,Other
47,🤬🤬🤬🤬 network 🛜,negative,0.685613214969635,CBE,1,network,UI/UX
48,CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,positive,0.9982792139053344,CBE,5,cbe good financial application dimple use like thank developer application appreciate app,"Positive Feedback, User Experience"
49,nice,positive,0.9998552799224854,CBE,5,nice,Positive Feedback
50,good job,positive,0.999835729598999,CBE,5,good job,Positive Feedback
51,it's awesome!!,positive,0.999871015548706,CBE,5,awesome,Positive Feedback
52,thankyou every one,positive,0.99984610080719,CBE,5,thankyou,Positive Feedback
53,Ronaldo 🇵🇹 🥇,positive,0.9948286414146424,CBE,5,ronaldo,Other
54,"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",positive,0.9998852014541626,CBE,5,app absolutely fantastic love enjoy let support foundation,"Customer Support, Positive Feedback"
55,"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",negative,0.9997394680976868,CBE,2,cbe app highly unreliable recent week frequently fail work properly ethio telecom safaricom network wi fi mobile datum week system entirely extended period make difficult access banking service app function intermittently lack consistency frustrating hope issue address soon non technical influence remove essential service,"Account Access, UI/UX, Customer Support, Feature Request"
56,mortuary app,negative,0.7924914956092834,CBE,5,mortuary app,Other
57,it is smart app but it has stoped after some period of time on my device with out any reason .,negative,0.9961044788360596,CBE,5,smart app stop period time device reason,User Experience
58,amazing app I am used this app for one year,positive,0.9991408586502076,CBE,4,amazing app app year,Positive Feedback
60,i love it 😍😘,positive,0.9998791217803956,CBE,5,love,Positive Feedback
61,It makes life easy!👌,positive,0.9993600249290466,CBE,5,make life easy,User Experience
62,its not fast,negative,0.9949808716773988,CBE,1,fast,Other
63,wow,positive,0.999592125415802,CBE,4,wow,Positive Feedback
64,it is sooo good,positive,0.9998735189437866,CBE,5,sooo good,Positive Feedback
65,excellent,positive,0.9998434782028198,CBE,5,excellent,Positive Feedback
